	(39117)
1	(49)
KING	(1418)
HENRY	(1132)
IV	(336)
DRAMATIS	(10)
PERSONAE	(10)
the	(7602)
Fourth	(14)
Prince	(62)
of	(5497)
Wales	(40)
PRINCE	(313)
sons	(51)
King	(205)
JOHN	(204)
Lancaster	(69)
LANCASTER	(45)
WESTMORELAND	(75)
SIR	(77)
WALTER	(21)
BLUNT	(26)
THOMAS	(26)
PERCY	(46)
Earl	(77)
Worcester	(18)
EARL	(90)
OF	(524)
WORCESTER	(46)
Northumberland	(53)
NORTHUMBERLAND	(108)
surnamed	(3)
HOTSPUR	(115)
his	(2142)
son	(276)
EDMUND	(5)
MORTIMER	(37)
March	(30)
RICHARD	(422)
SCROOP	(21)
Archbishop	(14)
York	(240)
ARCHBISHOP	(47)
YORK	(373)
ARCHIBALD	(1)
Douglas	(31)
DOUGLAS	(30)
OWEN	(1)
GLENDOWER	(27)
VERNON	(41)
FALSTAFF	(367)
MICHAEL	(13)
a	(3552)
friend	(96)
to	(4823)
POINS	(75)
GADSHILL	(21)
PETO	(16)
BARDOLPH	(119)
FRANCIS	(19)
waiter	(1)
LADY	(118)
wife	(100)
Hotspur	(17)
and	(5841)
sister	(24)
Mortimer	(47)
daughter	(74)
Glendower	(23)
MISTRESS	(54)
QUICKLY	(55)
hostess	(17)
tavern	(12)
in	(3034)
Eastcheap	(13)
Hostess	(50)
Lords	(51)
Officers	(15)
Sheriff	(22)
Vintner	(5)
Chamberlain	(62)
Drawers	(3)
two	(190)
Carriers	(1)
Travellers	(4)
Attendants	(30)
an	(430)
Ostler	(4)
First	(205)
Carrier	(21)
Second	(132)
Traveller	(2)
Servant	(45)
Messenger	(119)
SCENE	(227)
England	(280)
ACT	(221)
I	(5779)
London	(117)
The	(1259)
palace	(53)
Enter	(602)
LORD	(89)
others	(73)
So	(305)
shaken	(2)
as	(1205)
we	(971)
are	(822)
so	(1097)
wan	(1)
with	(2099)
care	(75)
Find	(9)
time	(293)
for	(1672)
frighted	(4)
peace	(205)
pant	(1)
And	(2652)
breathe	(32)
short	(36)
winded	(3)
accents	(2)
new	(84)
broils	(7)
To	(1016)
be	(1883)
commenced	(3)
strands	(1)
afar	(6)
remote	(2)
No	(239)
more	(516)
thirsty	(3)
entrance	(7)
this	(1691)
soil	(14)
Shall	(160)
daub	(2)
her	(591)
lips	(27)
own	(166)
children	(57)
s	(2132)
blood	(312)
Nor	(91)
shall	(996)
trenching	(1)
war	(127)
channel	(7)
fields	(15)
bruise	(3)
flowerets	(1)
armed	(17)
hoofs	(4)
Of	(281)
hostile	(2)
paces	(4)
those	(158)
opposed	(8)
eyes	(162)
Which	(256)
like	(488)
meteors	(5)
troubled	(10)
heaven	(212)
All	(101)
one	(374)
nature	(48)
substance	(17)
bred	(15)
Did	(55)
lately	(14)
meet	(95)
intestine	(1)
shock	(6)
furious	(8)
close	(39)
civil	(22)
butchery	(2)
now	(634)
mutual	(3)
well	(453)
beseeming	(5)
ranks	(6)
all	(1110)
way	(157)
no	(750)
Against	(55)
acquaintance	(7)
kindred	(16)
allies	(5)
edge	(15)
ill	(85)
sheathed	(2)
knife	(14)
cut	(46)
master	(98)
Therefore	(74)
friends	(160)
As	(411)
far	(98)
sepulchre	(6)
Christ	(9)
Whose	(85)
soldier	(46)
under	(61)
whose	(109)
blessed	(28)
cross	(29)
We	(235)
impressed	(1)
engaged	(5)
fight	(139)
Forthwith	(5)
power	(109)
English	(135)
levy	(6)
arms	(150)
were	(388)
moulded	(3)
their	(677)
mothers	(8)
womb	(27)
chase	(11)
these	(375)
pagans	(2)
holy	(76)
Over	(5)
acres	(1)
walk	(24)
d	(1715)
feet	(22)
fourteen	(9)
hundred	(46)
years	(62)
ago	(11)
nail	(2)
For	(578)
our	(1026)
advantage	(29)
on	(889)
bitter	(22)
But	(717)
purpose	(41)
is	(2210)
twelve	(14)
month	(11)
old	(164)
bootless	(6)
tis	(182)
tell	(248)
you	(2650)
will	(1273)
go	(283)
not	(2020)
Then	(223)
let	(456)
me	(2060)
hear	(211)
my	(3348)
gentle	(124)
cousin	(124)
Westmoreland	(32)
What	(556)
yesternight	(4)
council	(31)
did	(392)
decree	(3)
In	(307)
forwarding	(1)
dear	(85)
expedience	(3)
My	(552)
liege	(99)
haste	(47)
was	(603)
hot	(61)
question	(33)
many	(179)
limits	(5)
charge	(79)
set	(165)
down	(217)
when	(350)
athwart	(1)
there	(404)
came	(91)
A	(484)
post	(28)
from	(765)
loaden	(3)
heavy	(63)
news	(135)
worst	(30)
that	(2314)
noble	(225)
Leading	(1)
men	(337)
Herefordshire	(2)
irregular	(3)
wild	(30)
Was	(66)
by	(902)
rude	(30)
hands	(106)
Welshman	(5)
taken	(26)
thousand	(127)
people	(43)
butchered	(2)
Upon	(110)
dead	(190)
corpse	(6)
such	(340)
misuse	(2)
Such	(41)
beastly	(4)
shameless	(5)
transformation	(2)
By	(252)
Welshwomen	(1)
done	(181)
may	(436)
Without	(20)
much	(241)
shame	(116)
retold	(2)
or	(477)
spoken	(14)
It	(223)
seems	(19)
then	(466)
tidings	(24)
broil	(3)
Brake	(1)
off	(165)
business	(58)
Holy	(8)
Land	(5)
This	(289)
match	(26)
other	(184)
gracious	(98)
lord	(762)
uneven	(4)
unwelcome	(2)
Came	(15)
north	(23)
thus	(176)
it	(1657)
import	(4)
On	(64)
rood	(4)
day	(358)
gallant	(21)
Young	(13)
Harry	(119)
Percy	(58)
brave	(58)
Archibald	(1)
That	(823)
ever	(152)
valiant	(63)
approved	(3)
Scot	(16)
At	(64)
Holmedon	(5)
met	(40)
Where	(165)
they	(600)
spend	(18)
sad	(53)
bloody	(112)
hour	(86)
discharge	(10)
artillery	(4)
shape	(17)
likelihood	(6)
told	(54)
he	(1404)
brought	(62)
them	(577)
very	(146)
heat	(19)
pride	(33)
contention	(5)
take	(291)
horse	(106)
Uncertain	(2)
issue	(41)
any	(227)
Here	(153)
true	(209)
industrious	(2)
Sir	(230)
Walter	(13)
Blunt	(16)
lighted	(3)
Stain	(3)
variation	(2)
each	(62)
Betwixt	(11)
seat	(37)
ours	(32)
hath	(481)
us	(522)
smooth	(21)
welcome	(59)
discomfited	(2)
Ten	(9)
bold	(54)
Scots	(8)
twenty	(46)
knights	(12)
Balk	(1)
see	(353)
plains	(6)
prisoners	(32)
took	(39)
Mordake	(4)
Fife	(2)
eldest	(9)
beaten	(12)
Athol	(1)
Murray	(1)
Angus	(1)
Menteith	(1)
honourable	(31)
spoil	(17)
prize	(12)
ha	(27)
faith	(108)
conquest	(18)
prince	(140)
boast	(12)
Yea	(62)
thou	(1506)
makest	(7)
sin	(56)
envy	(19)
Lord	(449)
Should	(41)
father	(344)
blest	(8)
who	(171)
theme	(4)
honour	(206)
tongue	(149)
Amongst	(6)
grove	(5)
straightest	(1)
plant	(11)
Who	(185)
sweet	(150)
Fortune	(18)
minion	(3)
Whilst	(19)
looking	(8)
praise	(29)
