	(6607)
SONNETS	(3)
TO	(4)
THE	(11)
ONLY	(1)
BEGETTER	(1)
OF	(7)
THESE	(1)
INSUING	(1)
MR	(1)
W	(1)
H	(1)
ALL	(1)
HAPPINESS	(1)
AND	(4)
THAT	(1)
ETERNITY	(1)
PROMISED	(1)
BY	(1)
OUR	(1)
EVER	(1)
LIVING	(1)
POET	(1)
WISHETH	(1)
WELL	(1)
WISHING	(1)
ADVENTURER	(1)
IN	(1)
SETTING	(1)
FORTH	(1)
T	(4)
I	(618)
FROM	(3)
fairest	(7)
creatures	(6)
we	(40)
desire	(39)
increase	(7)
That	(200)
thereby	(2)
beauty	(111)
s	(454)
rose	(15)
might	(52)
never	(55)
die	(31)
But	(211)
as	(210)
the	(1248)
riper	(2)
should	(98)
by	(221)
time	(82)
decease	(4)
His	(52)
tender	(21)
heir	(4)
bear	(35)
his	(544)
memory	(8)
thou	(373)
contracted	(2)
to	(929)
thine	(69)
own	(64)
bright	(23)
eyes	(140)
Feed	(2)
st	(66)
thy	(412)
light	(45)
flame	(7)
with	(502)
self	(29)
substantial	(1)
fuel	(1)
Making	(11)
a	(534)
famine	(1)
where	(78)
abundance	(4)
lies	(35)
Thyself	(4)
foe	(11)
sweet	(97)
too	(48)
cruel	(11)
Thou	(59)
that	(576)
art	(81)
now	(98)
world	(55)
fresh	(18)
ornament	(6)
And	(600)
only	(11)
herald	(3)
gaudy	(3)
spring	(19)
Within	(11)
bud	(7)
buriest	(1)
content	(7)
churl	(2)
makest	(6)
waste	(9)
in	(749)
niggarding	(1)
Pity	(5)
or	(99)
else	(14)
this	(248)
glutton	(4)
be	(316)
To	(244)
eat	(4)
due	(7)
grave	(11)
and	(836)
thee	(274)
II	(2)
When	(106)
forty	(1)
winters	(2)
shall	(116)
beseige	(1)
brow	(16)
dig	(1)
deep	(33)
trenches	(1)
field	(8)
Thy	(53)
youth	(33)
proud	(31)
livery	(5)
so	(264)
gazed	(6)
on	(191)
Will	(23)
tatter	(2)
d	(579)
weed	(6)
of	(812)
small	(5)
worth	(26)
held	(5)
Then	(69)
being	(75)
ask	(4)
all	(246)
Where	(31)
treasure	(18)
lusty	(4)
days	(18)
say	(52)
within	(12)
sunken	(1)
Were	(12)
an	(52)
eating	(2)
shame	(54)
thriftless	(1)
praise	(34)
How	(40)
much	(38)
more	(125)
deserved	(2)
use	(20)
If	(78)
couldst	(3)
answer	(11)
This	(51)
fair	(105)
child	(15)
mine	(101)
Shall	(19)
sum	(4)
my	(590)
count	(4)
make	(87)
old	(42)
excuse	(16)
Proving	(2)
succession	(1)
were	(76)
new	(38)
made	(45)
when	(94)
see	(76)
blood	(41)
warm	(6)
feel	(7)
it	(272)
cold	(28)
III	(2)
Look	(18)
glass	(21)
tell	(28)
face	(63)
viewest	(1)
Now	(29)
is	(401)
form	(16)
another	(26)
Whose	(32)
repair	(4)
if	(83)
not	(383)
renewest	(1)
dost	(37)
beguile	(2)
unbless	(1)
some	(66)
mother	(9)
For	(188)
she	(313)
whose	(43)
unear	(1)
womb	(6)
Disdains	(1)
tillage	(1)
husbandry	(2)
Or	(84)
who	(29)
he	(294)
fond	(9)
will	(165)
tomb	(7)
Of	(57)
love	(300)
stop	(9)
posterity	(6)
Calls	(1)
back	(29)
lovely	(12)
April	(6)
her	(424)
prime	(8)
So	(101)
through	(32)
windows	(4)
age	(40)
Despite	(1)
wrinkles	(7)
golden	(17)
live	(51)
remember	(6)
Die	(2)
single	(4)
image	(13)
dies	(7)
IV	(2)
Unthrifty	(1)
loveliness	(1)
why	(31)
spend	(12)
Upon	(21)
thyself	(28)
legacy	(2)
Nature	(11)
bequest	(1)
gives	(17)
nothing	(31)
but	(183)
doth	(203)
lend	(16)
frank	(1)
lends	(7)
those	(48)
are	(141)
free	(9)
beauteous	(13)
niggard	(3)
abuse	(9)
The	(264)
bounteous	(2)
largess	(1)
given	(4)
give	(39)
Profitless	(1)
usurer	(2)
great	(20)
sums	(2)
yet	(79)
canst	(11)
having	(14)
traffic	(2)
alone	(29)
deceive	(3)
how	(56)
nature	(20)
calls	(8)
gone	(24)
What	(64)
acceptable	(1)
audit	(4)
leave	(25)
unused	(4)
must	(51)
Which	(107)
used	(7)
lives	(16)
th	(6)
executor	(1)
V	(2)
Those	(12)
hours	(21)
gentle	(29)
work	(12)
did	(129)
frame	(5)
gaze	(4)
every	(62)
eye	(105)
dwell	(10)
play	(11)
tyrants	(2)
very	(11)
same	(14)
unfair	(1)
which	(122)
fairly	(1)
excel	(2)
resting	(1)
leads	(2)
summer	(25)
hideous	(3)
winter	(13)
confounds	(7)
him	(192)
there	(58)
Sap	(1)
cheque	(6)
frost	(2)
leaves	(16)
quite	(8)
Beauty	(9)
o	(29)
ersnow	(1)
bareness	(2)
distillation	(1)
left	(16)
A	(64)
liquid	(1)
prisoner	(4)
pent	(2)
walls	(4)
effect	(7)
bereft	(4)
Nor	(37)
nor	(61)
no	(158)
remembrance	(2)
what	(115)
was	(124)
flowers	(17)
distill	(2)
though	(44)
they	(145)
meet	(5)
Leese	(1)
their	(221)
show	(39)
substance	(4)
still	(99)
VI	(2)
let	(46)
ragged	(3)
hand	(59)
deface	(2)
In	(95)
ere	(21)
Make	(17)
vial	(1)
place	(25)
With	(75)
kill	(29)
forbidden	(1)
usury	(2)
happies	(1)
pay	(9)
willing	(3)
loan	(1)
for	(242)
breed	(6)
ten	(9)
times	(16)
happier	(3)
one	(122)
Ten	(2)
than	(76)
refigured	(1)
could	(35)
death	(59)
do	(139)
shouldst	(11)
depart	(3)
Leaving	(3)
living	(14)
Be	(16)
conquest	(6)
worms	(6)
VII	(2)
Lo	(10)
orient	(3)
gracious	(5)
Lifts	(1)
up	(59)
burning	(11)
head	(25)
each	(37)
under	(11)
Doth	(13)
homage	(1)
appearing	(1)
sight	(34)
Serving	(1)
looks	(32)
sacred	(4)
majesty	(7)
climb	(2)
steep	(4)
heavenly	(11)
hill	(4)
Resembling	(3)
strong	(28)
middle	(1)
mortal	(15)
adore	(3)
Attending	(1)
pilgrimage	(4)
from	(184)
highmost	(1)
pitch	(4)
weary	(15)
car	(1)
Like	(35)
feeble	(4)
reeleth	(1)
day	(58)
fore	(3)
duteous	(2)
converted	(2)
From	(32)
low	(9)
tract	(1)
look	(36)
way	(22)
out	(45)
going	(3)
noon	(3)
Unlook	(2)
diest	(1)
unless	(3)
get	(9)
son	(12)
VIII	(2)
Music	(1)
hear	(30)
music	(11)
sadly	(7)
Sweets	(1)
sweets	(8)
war	(13)
joy	(21)
delights	(1)
Why	(24)
lovest	(9)
receivest	(3)
gladly	(1)
pleasure	(18)
annoy	(5)
true	(65)
concord	(2)
well	(59)
tuned	(4)
sounds	(6)
By	(44)
unions	(1)
married	(3)
offend	(2)
ear	(19)
They	(30)
sweetly	(5)
chide	(9)
singleness	(1)
parts	(12)
Mark	(3)
string	(1)
husband	(18)
Strikes	(1)
mutual	(4)
ordering	(1)
sire	(6)
happy	(14)
Who	(59)
pleasing	(3)
note	(7)
sing	(16)
speechless	(3)
song	(8)
many	(33)
seeming	(7)
Sings	(1)
wilt	(26)
prove	(24)
none	(27)
IX	(2)
Is	(25)
fear	(55)
wet	(7)
widow	(5)
consumest	(1)
life	(61)
Ah	(8)
issueless	(1)
shalt	(25)
hap	(2)
wail	(6)
like	(119)
makeless	(1)
wife	(16)
weep	(18)
hast	(25)
behind	(7)
private	(5)
may	(71)
keep	(19)
children	(6)
shape	(9)
mind	(38)
unthrift	(1)
Shifts	(1)
enjoys	(1)
hath	(110)
end	(22)
kept	(11)
user	(1)
destroys	(1)
No	(37)
toward	(3)
others	(22)
bosom	(10)
sits	(8)
himself	(27)
such	(73)
murderous	(4)
commits	(3)
X	(2)
deny	(4)
any	(19)
unprovident	(1)
Grant	(1)
beloved	(6)
most	(38)
evident	(1)
possess	(7)
hate	(22)
gainst	(11)
stick	(2)
conspire	(1)
Seeking	(1)
roof	(1)
ruinate	(2)
chief	(4)
O	(138)
change	(14)
thought	(38)
fairer	(6)
lodged	(4)
presence	(2)
kind	(19)
at	(97)
least	(8)
hearted	(2)
me	(304)
XI	(2)
As	(103)
fast	(13)
wane	(1)
growest	(2)
departest	(1)
youngly	(1)
bestowest	(1)
mayst	(13)
call	(22)
convertest	(1)
Herein	(1)
wisdom	(1)
Without	(6)
folly	(7)
decay	(15)
minded	(1)
cease	(2)
threescore	(1)
year	(6)
would	(81)
away	(43)
Let	(31)
whom	(24)
store	(13)
Harsh	(1)
featureless	(1)
rude	(5)
barrenly	(1)
perish	(2)
best	(38)
endow	(1)
gave	(19)
gift	(6)
bounty	(3)
cherish	(3)
She	(73)
carved	(3)
seal	(6)
meant	(1)
print	(2)
copy	(2)
XII	(2)
clock	(2)
tells	(5)
brave	(5)
sunk	(1)
night	(84)
behold	(22)
violet	(3)
past	(14)
sable	(4)
curls	(2)
silver	(15)
er	(43)
white	(36)
lofty	(3)
trees	(3)
barren	(9)
erst	(1)
heat	(14)
canopy	(2)
herd	(3)
green	(14)
girded	(1)
sheaves	(1)
Borne	(2)
bier	(1)
bristly	(2)
beard	(2)
question	(5)
among	(5)
wastes	(2)
go	(15)
Since	(26)
beauties	(6)
themselves	(22)
forsake	(4)
grow	(14)
Time	(34)
scythe	(4)
can	(76)
defence	(3)
Save	(13)
takes	(19)
hence	(11)
XIII	(2)
you	(142)
yourself	(10)
longer	(8)
yours	(9)
here	(27)
Against	(15)
coming	(5)
prepare	(3)
your	(117)
semblance	(6)
other	(45)
hold	(22)
lease	(4)
Find	(2)
determination	(1)
then	(88)
Yourself	(2)
again	(41)
after	(22)
issue	(5)
lets	(2)
house	(3)
fall	(16)
honour	(32)
uphold	(1)
stormy	(3)
gusts	(1)
rage	(18)
eternal	(8)
unthrifts	(1)
Dear	(5)
know	(47)
You	(12)
had	(65)
father	(17)
XIV	(2)
Not	(19)
stars	(10)
judgment	(9)
pluck	(14)
methinks	(4)
have	(146)
astronomy	(1)
good	(43)
evil	(10)
luck	(1)
plagues	(1)
dearths	(1)
seasons	(3)
quality	(5)
fortune	(10)
brief	(6)
minutes	(6)
Pointing	(1)
thunder	(4)
rain	(12)
wind	(23)
princes	(4)
oft	(14)
predict	(1)
heaven	(41)
find	(29)
knowledge	(4)
derive	(1)
constant	(6)
them	(90)
read	(11)
truth	(34)
together	(9)
thrive	(4)
wouldst	(5)
convert	(2)
prognosticate	(1)
doom	(9)
date	(8)
XV	(2)
consider	(1)
thing	(29)
grows	(5)
Holds	(2)
perfection	(6)
little	(20)
moment	(4)
huge	(4)
stage	(4)
presenteth	(2)
nought	(10)
shows	(11)
Whereon	(4)
secret	(7)
influence	(3)
comment	(3)
perceive	(2)
men	(42)
plants	(5)
Cheered	(1)
even	(22)
sky	(10)
Vaunt	(1)
youthful	(4)
sap	(4)
height	(4)
decrease	(1)
wear	(9)
state	(22)
conceit	(7)
inconstant	(2)
stay	(22)
Sets	(2)
rich	(20)
before	(30)
wasteful	(2)
debateth	(1)
Decay	(1)
sullied	(1)
engraft	(1)
XVI	(2)
wherefore	(6)
mightier	(3)
upon	(59)
bloody	(10)
tyrant	(7)
fortify	(2)
means	(6)
blessed	(11)
rhyme	(6)
stand	(21)
top	(3)
maiden	(7)
gardens	(2)
unset	(1)
virtuous	(5)
wish	(14)
Much	(3)
liker	(1)
painted	(13)
counterfeit	(3)
lines	(11)
pencil	(2)
pupil	(1)
pen	(11)
Neither	(3)
inward	(9)
outward	(12)
Can	(6)
keeps	(6)
drawn	(6)
skill	(17)
XVII	(2)
believe	(6)
verse	(15)
come	(27)
fill	(9)
high	(21)
deserts	(2)
Though	(22)
knows	(18)
hides	(3)
half	(5)
write	(11)
numbers	(5)
number	(4)
graces	(6)
poet	(4)
Such	(16)
touches	(5)
ne	(12)
touch	(11)
earthly	(6)
faces	(7)
papers	(2)
yellow	(3)
scorn	(12)
less	(10)
tongue	(45)
rights	(3)
term	(2)
stretched	(1)
metre	(1)
antique	(5)
alive	(7)
twice	(4)
XVIII	(2)
compare	(8)
temperate	(1)
Rough	(1)
winds	(5)
shake	(5)
darling	(1)
buds	(5)
May	(14)
short	(16)
Sometime	(9)
hot	(19)
shines	(4)
often	(15)
gold	(8)
complexion	(5)
dimm	(2)
sometime	(11)
declines	(1)
chance	(3)
changing	(2)
course	(10)
untrimm	(1)
fade	(3)
lose	(12)
possession	(4)
owest	(1)
Death	(13)
brag	(3)
wander	(3)
shade	(10)
long	(36)
breathe	(3)
XIX	(2)
Devouring	(1)
blunt	(7)
lion	(6)
paws	(1)
earth	(33)
devour	(3)
brood	(2)
Pluck	(3)
keen	(4)
teeth	(4)
fierce	(2)
tiger	(3)
jaws	(1)
burn	(15)
lived	(12)
phoenix	(5)
glad	(2)
sorry	(3)
fleets	(1)
whate	(2)
swift	(11)
footed	(1)
wide	(10)
fading	(2)
forbid	(4)
heinous	(2)
crime	(8)
carve	(1)
draw	(7)
Him	(2)
untainted	(3)
allow	(3)
pattern	(4)
succeeding	(2)
Yet	(48)
worst	(9)
despite	(10)
wrong	(21)
My	(86)
ever	(30)
young	(20)
XX	(2)
woman	(14)
Hast	(3)
master	(9)
mistress	(17)
passion	(10)
heart	(123)
acquainted	(3)
shifting	(3)
false	(47)
women	(14)
fashion	(3)
An	(6)
theirs	(3)
rolling	(1)
Gilding	(2)
object	(5)
whereupon	(1)
gazeth	(3)
man	(31)
hue	(9)
hues	(1)
controlling	(2)
steals	(2)
souls	(6)
amazeth	(1)
wert	(5)
first	(20)
created	(2)
Till	(29)
wrought	(4)
fell	(18)
doting	(6)
addition	(2)
defeated	(1)
adding	(1)
purpose	(9)
since	(15)
prick	(3)
Mine	(16)
XXI	(2)
Muse	(16)
Stirr	(1)
itself	(14)
rehearse	(4)
couplement	(1)
sun	(39)
moon	(7)
sea	(10)
gems	(2)
born	(11)
things	(26)
rare	(4)
air	(12)
rondure	(1)
hems	(1)
truly	(6)
candles	(1)
fix	(7)
hearsay	(1)
sell	(4)
XXII	(1)
persuade	(4)
am	(48)
furrows	(1)
expiate	(1)
cover	(5)
seemly	(1)
raiment	(1)
breast	(27)
elder	(1)
therefore	(17)
wary	(1)
myself	(41)
Bearing	(3)
chary	(1)
nurse	(8)
babe	(6)
faring	(1)
ill	(38)
Presume	(1)
slain	(11)
gavest	(4)
XXIII	(1)
unperfect	(1)
actor	(2)
put	(20)
besides	(2)
part	(37)
replete	(2)
strength	(14)
weakens	(1)
trust	(9)
forget	(4)
perfect	(5)
ceremony	(1)
rite	(1)
seem	(40)
ercharged	(1)
burden	(7)
books	(5)
eloquence	(2)
dumb	(14)
presagers	(1)
speaking	(5)
plead	(4)
recompense	(1)
More	(11)
express	(9)
learn	(9)
silent	(4)
writ	(12)
belongs	(2)
fine	(3)
wit	(15)
XXIV	(1)
painter	(11)
stell	(2)
table	(1)
body	(22)
wherein	(8)
tis	(23)
perspective	(1)
pictured	(1)
shop	(1)
hanging	(4)
glazed	(2)
turns	(7)
done	(26)
Are	(12)
Delights	(1)
peep	(6)
therein	(5)
cunning	(6)
want	(11)
grace	(22)
XXV	(1)
favour	(9)
public	(6)
titles	(2)
boast	(10)
Whilst	(13)
triumph	(6)
bars	(3)
Great	(2)
favourites	(1)
spread	(5)
marigold	(1)
pride	(26)
buried	(7)
frown	(8)
glory	(10)
painful	(3)
warrior	(1)
famoused	(1)
fight	(14)
After	(2)
thousand	(20)
victories	(2)
once	(27)
foil	(4)
book	(7)
razed	(3)
rest	(23)
forgot	(6)
toil	(5)
remove	(7)
removed	(4)
XXVI	(1)
Lord	(2)
vassalage	(1)
merit	(6)
duty	(10)
strongly	(3)
knit	(2)
send	(4)
written	(1)
embassage	(1)
witness	(4)
Duty	(1)
poor	(51)
bare	(8)
wanting	(3)
words	(36)
hope	(16)
soul	(26)
naked	(5)
bestow	(4)
