	(51557)
ANTONY	(353)
AND	(96)
CLEOPATRA	(281)
DRAMATIS	(12)
PERSONAE	(12)
MARK	(244)
OCTAVIUS	(155)
CAESAR	(205)
triumvirs	(2)
M	(2)
AEMILIUS	(11)
LEPIDUS	(51)
SEXTUS	(1)
POMPEIUS	(1)
POMPEY	(50)
DOMITIUS	(138)
ENOBARBUS	(139)
VENTIDIUS	(13)
EROS	(37)
SCARUS	(20)
friends	(203)
to	(5656)
Antony	(206)
DERCETAS	(9)
DEMETRIUS	(59)
PHILO	(4)
MECAENAS	(25)
AGRIPPA	(44)
DOLABELLA	(30)
PROCULEIUS	(17)
Caesar	(405)
THYREUS	(19)
GALLUS	(6)
MENAS	(45)
MENECRATES	(4)
Pompey	(41)
VARRIUS	(3)
TAURUS	(4)
lieutenant	(29)
general	(145)
CANIDIUS	(14)
SILIUS	(5)
an	(527)
officer	(17)
in	(3281)
Ventidius	(12)
s	(2821)
army	(38)
EUPHRONIUS	(10)
ambassador	(6)
from	(823)
ALEXAS	(25)
MARDIAN	(15)
a	(4044)
Eunuch	(1)
attendants	(5)
on	(1059)
Cleopatra	(36)
SELEUCUS	(7)
DIOMEDES	(84)
A	(720)
Soothsayer	(44)
Clown	(94)
queen	(146)
of	(4955)
Egypt	(46)
OCTAVIA	(20)
sister	(70)
and	(6402)
wife	(152)
CHARMIAN	(80)
IRAS	(33)
Officers	(17)
Soldiers	(43)
Messengers	(6)
other	(247)
Attendants	(71)
First	(490)
Officer	(19)
Second	(305)
Third	(137)
Messenger	(139)
Servant	(178)
Egyptian	(14)
Guard	(32)
Attendant	(27)
SCENE	(296)
In	(393)
several	(29)
parts	(36)
the	(8322)
Roman	(114)
empire	(12)
ACT	(285)
I	(7224)
Alexandria	(19)
room	(53)
palace	(49)
Enter	(735)
Nay	(170)
but	(1292)
this	(1887)
dotage	(7)
our	(1082)
O	(1028)
erflows	(1)
measure	(25)
those	(187)
his	(2219)
goodly	(27)
eyes	(243)
That	(1151)
o	(339)
er	(242)
files	(4)
musters	(2)
war	(102)
Have	(167)
glow	(5)
d	(2061)
like	(554)
plated	(1)
Mars	(21)
now	(705)
bend	(15)
turn	(116)
The	(1495)
office	(37)
devotion	(7)
their	(754)
view	(24)
Upon	(120)
tawny	(2)
front	(12)
captain	(29)
heart	(385)
Which	(330)
scuffles	(1)
great	(330)
fights	(7)
hath	(541)
burst	(10)
buckles	(2)
breast	(33)
reneges	(1)
all	(1191)
temper	(21)
And	(2317)
is	(2836)
become	(35)
bellows	(1)
fan	(9)
To	(1314)
cool	(13)
gipsy	(3)
lust	(32)
Flourish	(32)
her	(1219)
Ladies	(17)
Train	(5)
with	(2253)
Eunuchs	(1)
fanning	(1)
Look	(100)
where	(273)
they	(704)
come	(602)
Take	(78)
good	(725)
note	(58)
you	(4209)
shall	(1054)
see	(449)
him	(1997)
triple	(1)
pillar	(2)
world	(244)
transform	(4)
Into	(34)
strumpet	(16)
fool	(151)
behold	(50)
If	(526)
it	(2395)
be	(2083)
love	(615)
indeed	(118)
tell	(330)
me	(2489)
how	(338)
much	(347)
There	(222)
beggary	(5)
that	(2766)
can	(351)
reckon	(6)
ll	(897)
set	(143)
bourn	(5)
far	(89)
beloved	(26)
Then	(190)
must	(519)
thou	(1599)
needs	(54)
find	(194)
out	(494)
new	(70)
heaven	(209)
earth	(122)
News	(6)
my	(3439)
lord	(882)
Rome	(308)
Grates	(1)
sum	(13)
hear	(296)
them	(786)
Fulvia	(18)
perchance	(16)
angry	(45)
or	(592)
who	(236)
knows	(65)
scarce	(27)
bearded	(2)
have	(1963)
not	(2929)
sent	(81)
His	(172)
powerful	(7)
mandate	(4)
Do	(202)
kingdom	(31)
enfranchise	(1)
Perform	(2)
t	(597)
else	(135)
we	(1010)
damn	(31)
thee	(1124)
How	(424)
Perchance	(9)
nay	(40)
most	(392)
You	(594)
stay	(119)
here	(614)
longer	(23)
your	(1852)
dismission	(2)
Is	(334)
therefore	(102)
Where	(256)
process	(7)
would	(686)
say	(519)
both	(177)
Call	(39)
messengers	(12)
As	(550)
am	(652)
Thou	(358)
blushest	(1)
blood	(218)
thine	(148)
homager	(1)
so	(1372)
thy	(1228)
cheek	(27)
pays	(7)
shame	(86)
When	(309)
shrill	(5)
tongued	(5)
scolds	(2)
Let	(375)
Tiber	(8)
melt	(12)
wide	(20)
arch	(8)
Of	(362)
ranged	(1)
fall	(134)
Here	(215)
space	(12)
Kingdoms	(2)
are	(1132)
clay	(7)
dungy	(1)
alike	(23)
Feeds	(2)
beast	(34)
as	(1394)
man	(693)
nobleness	(9)
life	(262)
do	(1255)
thus	(233)
when	(420)
such	(454)
mutual	(5)
pair	(13)
Embracing	(3)
twain	(21)
which	(501)
bind	(12)
On	(85)
pain	(21)
punishment	(9)
weet	(1)
We	(332)
stand	(180)
up	(393)
peerless	(2)
Excellent	(11)
falsehood	(11)
Why	(397)
did	(493)
he	(1890)
marry	(46)
seem	(90)
Will	(173)
himself	(156)
But	(844)
stirr	(6)
by	(936)
Now	(239)
for	(1829)
Love	(19)
soft	(35)
hours	(34)
confound	(16)
time	(374)
conference	(7)
harsh	(10)
minute	(15)
lives	(69)
should	(528)
stretch	(16)
Without	(32)
some	(402)
pleasure	(65)
What	(925)
sport	(35)
tonight	(6)
Hear	(40)
ambassadors	(5)
Fie	(30)
wrangling	(1)
Whom	(30)
every	(175)
thing	(209)
becomes	(14)
chide	(14)
laugh	(42)
weep	(78)
whose	(143)
passion	(43)
fully	(7)
strives	(3)
make	(521)
itself	(115)
fair	(200)
admired	(6)
No	(395)
messenger	(19)
alone	(89)
night	(402)
wander	(7)
through	(71)
streets	(31)
qualities	(7)
people	(135)
Come	(335)
Last	(6)
desire	(61)
speak	(423)
us	(666)
Exeunt	(399)
train	(22)
Antonius	(10)
prized	(6)
slight	(13)
Sir	(113)
sometimes	(16)
He	(574)
comes	(210)
too	(414)
short	(31)
property	(8)
still	(182)
go	(478)
full	(127)
sorry	(40)
approves	(3)
common	(68)
liar	(6)
Thus	(55)
speaks	(49)
at	(749)
will	(1384)
hope	(89)
better	(187)
deeds	(54)
morrow	(118)
Rest	(5)
happy	(54)
II	(107)
same	(120)
Another	(41)
Lord	(239)
Alexas	(10)
sweet	(195)
any	(202)
almost	(60)
absolute	(20)
soothsayer	(3)
praised	(20)
knew	(46)
husband	(100)
charge	(48)
horns	(13)
garlands	(3)
Your	(234)
sir	(589)
know	(635)
things	(124)
nature	(198)
infinite	(19)
book	(27)
secrecy	(5)
little	(139)
read	(66)
Show	(26)
